,Gemeentenaam,energetic_emissions_other_ghg_agriculture,energetic_emissions_other_ghg_buildings,energetic_emissions_other_ghg_energy,energetic_emissions_other_ghg_households,energetic_emissions_other_ghg_industry,energetic_emissions_other_ghg_transport,indirect_emissions_co2,non_energetic_emissions_co2_agriculture_manure,non_energetic_emissions_co2_agriculture_soil_cultivation,non_energetic_emissions_co2_chemical_industry,non_energetic_emissions_co2_other_industry,non_energetic_emissions_co2_waste_management,non_energetic_emissions_other_ghg_agriculture_fermentation,non_energetic_emissions_other_ghg_agriculture_manure,non_energetic_emissions_other_ghg_agriculture_other,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,non_energetic_emissions_other_ghg_chemical_industry,non_energetic_emissions_other_ghg_other_industry,non_energetic_emissions_other_ghg_waste_management
Heerde,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Heerenveen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Heerhugowaard,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Heerlen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Heeze-Leende,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Heiloo,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Hellendoorn,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Hellevoetsluis,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Helmond,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Hendrik-Ido-Ambacht,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Hengelo (O),,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Het Hogeland,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Heumen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Heusden,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Hillegom,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Hilvarenbeek,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Hilversum,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Hoeksche Waard,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Hof van Twente,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Hollands Kroon,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Hoogeveen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Hoorn,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Horst aan de Maas,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Houten,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Huizen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Hulst,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
IJsselstein,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Kaag en Braassem,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Kampen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Kapelle,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Katwijk,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Kerkrade,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Koggenland,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Krimpen aan den IJssel,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Krimpenerwaard,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Laarbeek,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Landerd,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Landgraaf,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Landsmeer,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Langedijk,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Lansingerland,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Laren,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Leeuwarden,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Leiden,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Leiderdorp,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Leidschendam-Voorburg,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Lelystad,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Leudal,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Leusden,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Lingewaard,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Lisse,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Lochem,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Loon op Zand,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Lopik,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Losser,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Maasdriel,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Maasgouw,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Maassluis,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Maastricht,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Medemblik,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Meerssen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Meierijstad,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Meppel,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Middelburg,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Midden-Delfland,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Midden-Drenthe,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Midden-Groningen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Mill en Sint Hubert,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Moerdijk,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Molenlanden,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Montferland,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Montfoort,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Mook en Middelaar,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Neder-Betuwe,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Nederweert,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Nieuwegein,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Nieuwkoop,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Nijkerk,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Nijmegen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Nissewaard,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Noardeast-Fryslân,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Noord-Beveland,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Noordenveld,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Noordoostpolder,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Noordwijk,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Noordzee,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
"Nuenen, Gerwen en Nederwetten",,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Nunspeet,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Oegstgeest,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Oirschot,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Oisterwijk,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Oldambt,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Oldebroek,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Oldenzaal,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Olst-Wijhe,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Ommen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Oost Gelre,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Oosterhout,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Ooststellingwerf,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Oostzaan,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Opmeer,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Opsterland,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Oss,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
